transaction_id,account_id,customer_id,txn_date,txn_ts,amount,txn_type,merchant_name,mcc_code
TXN-B3-001,A001,C001,2024-03-02,2024-03-02 09:15:00,-290.00,DEBIT,Whole Foods Market,5411
TXN-B3-002,A001,C001,2024-03-05,2024-03-05 17:30:00,4200.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B3-003,A003,C002,2024-03-08,2024-03-08 09:00:00,-1875.00,DEBIT,MORTGAGE PAYMENT,6552
TXN-B3-004,A005,C003,2024-03-10,2024-03-10 11:30:00,-8500.00,DEBIT,International Wire,6012
TXN-B3-005,A007,C004,2024-03-12,2024-03-12 14:00:00,-150.00,DEBIT,Shell Oil,5541
TXN-B3-006,A008,C005,2024-03-15,2024-03-15 10:00:00,4500.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B3-007,A006,C003,2024-03-18,2024-03-18 16:20:00,-310.00,DEBIT,Whole Foods Market,5411
TXN-B3-008,A002,C001,2024-03-20,2024-03-20 13:45:00,-675.00,DEBIT,Best Buy,5732
TXN-BAD-001,,C001,2024-03-21,2024-03-21 10:00:00,-50.00,DEBIT,Test Merchant,5411
TXN-BAD-002,A001,C001,2024-03-22,2024-03-22 11:00:00,-25.00,INVALID,Bad Type Merchant,5411
TXN-B3-009,A004,C002,2024-03-25,2024-03-25 17:30:00,5500.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B3-010,A007,C004,2024-03-28,2024-03-28 09:00:00,-180.00,DEBIT,Home Depot,5200
